site,habitat,age,tag,scrotal ,ear.scars,mass,foot,pter.pres,pter.infect
5,u,j,1104,n,n,11,35,0,0
4,u,j,1009,n,n,12,34,0,0
4,u,j,1015,n,n,12,35,0,0
5,u,j,1105,n,n,12,34,0,0
4,u,j,1106,n,n,13,36,0,0
4,u,j,1107,n,n,13,36,0,0
5,u,j,1108,n,n,14,35,0,0
4,u,j,1007,n,n,15,34,0,0
4,u,j,1109,n,n,15,36,0,0
2,u,s,1047,n,n,20,35,0,0
8,w,s,1072,n,n,20,35,0,0
6,w,s,1097,n,y,20,36,0,0
8,w,s,1070,n,n,21,35,0,0
8,w,s,1065,n,n,22,37,1,1
5,u,s,1089,n,y,22,35,1,4
8,w,s,1064,n,y,23,36,1,1
4,u,s,1014,n,y,25,37,1,2
9,w,s,1032,n,n,25,35,1,1
7,w,s,1036,n,y,25,37,0,0
6,w,s,1073,n,y,25,35,0,0
5,u,s,1087,n,n,25,36,1,1
9,w,s,1033,n,n,26,35,1,1
1,u,a,1025,y,y,35,36,1,4
9,w,a,1031,y,y,35,35,0,0
8,w,a,1060,y,y,35,37,0,0
8,w,a,1063,y,y,35,35,0,0
7,w,a,1039,y,y,36,35,1,1
10,w,a,1040,y,y,36,36,1,1
8,w,a,1061,n,n,36,35,0,0
8,w,a,1067,y,y,36,37,0,0
8,w,a,1071,y,y,36,35,1,1
6,w,a,1074,y,y,36,36,0,0
6,w,a,1075,y,y,36,35,0,0
6,w,a,1076,y,y,36,37,0,0
6,w,a,1077,y,y,36,36,1,1
6,w,a,1080,y,y,37,35,0,0
1,u,a,1027,y,y,38,35,1,4
9,w,a,1029,y,y,38,36,1,1
7,w,a,1035,y,y,38,36,1,1
7,w,a,1037,y,y,38,36,1,1
8,w,a,1062,y,y,38,35,0,0
8,w,a,1066,y,y,38,36,0,0
10,w,a,1045,y,y,39,35,1,1
2,u,a,1055,y,y,39,36,1,4
8,w,a,1058,y,y,39,36,1,1
6,w,a,1078,y,y,39,36,0,0
8,w,a,1068,y,y,40,36,0,0
6,w,a,1079,y,y,40,36,0,0
4,u,a,1016,y,y,41,36,1,1
8,w,a,1046,y,y,41,37,0,0
6,w,a,1096,y,y,41,36,0,0
3,u,a,1005,n,n,42,37,1,1
3,u,a,1006,n,n,42,36,1,1
4,u,a,1017,y,y,42,37,1,5
4,u,a,1022,y,y,42,36,1,4
9,w,a,1030,y,y,42,37,0,0
9,w,a,1034,y,y,42,37,0,0
10,w,a,1043,y,y,42,34,0,0
6,w,a,1086,y,y,42,36,0,0
5,u,a,1088,y,y,42,37,1,1
4,u,a,1098,y,y,42,36,1,3
4,u,a,1012,y,y,43,37,1,5
10,w,a,1041,y,y,43,36,0,0
6,w,a,1094,y,y,43,35,0,0
3,u,a,1004,n,n,44,36,1,4
4,u,a,1018,y,y,44,35,1,5
4,u,a,1020,y,y,44,36,1,2
1,u,a,1023,y,y,44,35,1,3
1,u,a,1024,y,y,44,36,1,3
2,u,a,1050,y,y,44,37,1,2
2,u,a,1052,y,y,44,35,1,2
8,w,a,1057,y,y,44,36,0,0
6,w,a,1085,y,y,44,36,0,0
4,u,a,1102,y,y,44,35,1,5
4,u,a,1103,y,y,44,36,1,7
3,u,a,1003,n,n,45,37,1,5
4,u,a,1010,y,y,45,35,1,3
4,u,a,1019,y,y,45,37,1,4
2,u,a,1054,y,y,45,35,1,3
8,w,a,1069,y,y,45,36,0,0
6,w,a,1084,y,y,45,37,0,0
5,u,a,1092,n,y,45,36,1,2
3,u,a,1101,y,y,45,36,1,8
8,w,a,1059,y,y,46,36,0,0
4,u,a,1011,y,y,47,37,1,8
6,w,a,1093,y,y,47,35,0,0
3,u,a,1002,n,n,48,36,1,5
1,u,a,1026,y,y,48,37,1,5
1,u,a,1028,y,y,48,35,1,5
6,w,a,1083,y,y,48,37,0,0
3,u,a,1100,y,y,48,36,0,0
4,u,a,1013,y,y,49,37,1,8
10,w,a,1044,y,y,49,36,1,1
6,w,a,1095,y,y,49,37,0,0
2,u,a,1048,y,y,50,36,1,2
2,u,a,1049,y,y,50,37,1,1
3,u,a,1001,n,n,51,37,1,5
4,u,a,1008,y,y,51,37,1,2
10,w,a,1042,y,y,51,37,0,0
2,u,a,1051,y,y,51,36,1,3
6,w,a,1082,y,y,51,37,0,0
5,u,a,1091,y,y,51,37,1,4
4,u,a,1099,y,y,51,35,1,3
2,u,a,1053,y,y,52,37,1,2
7,w,a,1038,y,y,53,37,1,1
2,u,a,1056,y,y,55,37,1,1
6,w,a,1081,y,y,50,37,0,0
