"","Port","State","PortCode"
"1","Port Tampa","FL",1801
"2","Tampa","FL",1801
"3","Jacksonville","FL",1803
"4","Fernandina Beach","FL",1805
"5","Orlando","FL",1808
"6","St. Petersburg","FL",1814
"7","Panama City","FL",1818
"8","Pensacola","FL",1819
"9","Port Manatee","FL",1821
"10","Sarasota-Bradenton Airport","FL",1883
"11","Daytona Beach Airport","FL",1884
"12","Miami","FL",5201
"13","Key West","FL",5202
"14","Dania","FL",5203
"15","Fort Lauderdale","FL",5203
"16","Hollywood","FL",5203
"17","Port Everglades","FL",5203
"18","Port Canaveral","FL",1816
"19","Miami International Airport","FL",5206
"20","West Palm Beach","FL",5204
"21","Boca Grande","FL",1807
"22","Sanford Regional Airport","FL",1882
"23","Fort Pierce","FL",5205
"24","Dhl Miami","FL",5271
"25","Ups Miami International Airport","FL",5273
