species	urban.score	body.mass	peak.baseline
Dumetella carolinensis	3	37.80	14.62
Lamprotornis chalybaeus	1	84.83	34.26
Passerculus sandwichensis	1	20.10	43.41
Phylloscopus trochilus	1	9.92	37.50
Taeniopygia guttata	1	12.00	19.19
Setophaga ruticilla	2	7.80	16.84
Toxostoma curvirostre	2	78.40	21.06
Sturnus vulgaris	3	109.40	42.26
Carpodacus mexicanus	3	20.40	20.03
Passer domesticus	3	28.49	25.74
Columbina inca	3	48.00	27.48
Zenaida macroura	3	126.50	25.80
Mimus polyglottos	2	45.20	25.24
Melospiza melodia	2	20.50	84.62
Lamprotornis superbus	3	54.15	30.52
Zonotrichia leucophrys	2	24.70	40.06
Pipilo aberti	2	39.20	27.83
Motacilla alba	0	15.30	25.41
Empidonax oberholseri	0	12.27	30.98
Carduelis tristis	2	12.90	24.00
Spizella arborea	2	12.40	30.63
Dendroica petechia	0	9.80	62.89
Amphispiza bilineata	0	13.80	23.95
Parus caeruleus	3	10.79	43.96
Campylorhynchus brunneicapillus	2	38.90	22.65
Pipilo fuscus	2	39.20	18.20
Calcarius ornatus	0	27.50	15.57
Parus ater	1	8.00	26.72
Fringilla coelebs	2	24.26	36.28
Carduelis flammea	2	12.13	23.37
Junco hyemalis	2	19.00	23.56
Sialia sialis	1	29.70	22.18
Passer montanus	3	21.38	32.84
Ficedula hypoleuca	1	12.76	32.01
Erithacus rubecula	2	16.75	37.10
Aphelocoma coerulescens	0	76.00	40.15
Sylvia borin	1	18.22	23.93
Parus major	2	17.02	13.22
Catharus guttatus	0	38.13	17.40
Lamprotornis hildebrandti	0	84.83	22.16
Passerina cyanea	0	12.20	41.46
Calcarius lapponicus	0	27.50	24.99
Asio otus	0	284.30	28.93
Calcarius mccownii	0	27.50	14.33
Zonotrichia capensis	3	20.30	39.92
Riparia riparia	0	13.80	20.01
Calcarius pictus	0	27.50	32.82
Plectrophenax nivalis	0	34.80	17.95
Turdus philomelos	2	69.64	77.55
Anthus trivialis	0	18.40	47.84
Tachycineta bicolor	0	20.10	14.16
Motacilla flava	0	14.40	88.46
Lichenostomus penicillatus	1	19.20	34.63
Zonotrichia albicollis	2	27.40	57.23
Parus montanus	1	10.20	18.93
Dendroica coronata	2	12.60	0.00
Turdus merula	3	98.17	5.04
Hirundo rustica	2	17.54	10.88
Carduelis pinus	1	12.75	32.74
Columba livia	3	354.50	8.89
