1Name,2DanioID,3Danio EntrezGene ID,4Gene,5TissueA-con,6TissueA-tr1,7TissueA-tr2
1-Mar,ENSDARG00000037487,797069,Sm-comp83388_c0_seq1,1086.305047,1539.660849,1149.736045
2-Mar,ENSDARG00000061738,555611,Sm-comp38968_c0_seq1,1121.523506,1495.187362,751.8578364
3-Mar,ENSDARG00000062959,791214,Sm-comp135937_c0_seq1,549.5277949,2149.835767,648.0103122
5-Mar,ENSDARG00000032552,561952,Sm-comp26345_c0_seq1,1129.948976,833.9470139,504.4638912
6-Mar,ENSDARG00000076066,100002072,Sm-comp7954_c0_seq1,9264.355223,7348.1018,4308.620134
a1cf,ENSDARG00000002968,562916,Sm-comp231955_c0_seq1,121.4203663,363.9393434,133.7559634
A2LD1,ENSDARG00000070581,777609,Sm-comp70042_c0_seq1,460.0774017,621.5891536,420.8488054
aaas,ENSDARG00000019547,378454,Sm-comp28226_c0_seq1,1610.387926,2025.728083,1216.816527
aacs,ENSDARG00000012468,393984,Sm-comp269323_c0_seq1,630.0378297,1072.849607,352.1747325
AADACL2,ENSDARG00000063621,100148912,Sm-comp248434_c0_seq1,654.4997739,369.4141945,629.6796173
aadacl4,ENSDARG00000044802,569798,Sm-comp133315_c0_seq1,175.0625173,370.520225,281.739786
AADAT,ENSDARG00000011410,557979,Sm-comp56954_c0_seq1,1033.524167,431.3519037,551.1534563
aagab,ENSDARG00000041170,436696,Sm-comp5254_c0_seq1,1894.120268,2318.538603,1262.405546
AAK1,ENSDARG00000077686,,Sm-comp52377_c1_seq1,1190.799583,992.231042,427.0118631
AAK1,ENSDARG00000011855,568999,SmBGI-scaffold20874,712.4201907,445.7303005,229.7940129
AAMP,ENSDARG00000045019,405874,Sm-comp14292_c0_seq1,4365.544292,5533.603428,1868.392608
aanat1,ENSDARG00000036567,393677,Sm-comp416000_c0_seq1,133.8713368,119.4512964,112.6959144
aars,ENSDARG00000069142,324940,Sm-comp6661_c0_seq1,11803.04257,10336.91702,4477.619984
AARS2,ENSDARG00000071240,792787,Sm-comp27453_c0_seq1,1203.896506,653.5202548,303.7154893
aarsd1,ENSDARG00000015747,445178,Sm-comp39866_c0_seq1,1295.565606,664.7354043,495.2633263
aasdh,ENSDARG00000022730,570338,Sm-comp111041_c0_seq1,1067.169871,739.1712585,454.7104059
AASDHPPT,ENSDARG00000037501,619247,Sm-comp79394_c1_seq1,461.3693069,772.6729229,355.6964798
aass,ENSDARG00000051816,556229,Sm-comp2583_c0_seq1,25956.6505,20803.05158,23044.45677
aatf,ENSDARG00000025467,559477,Sm-comp59269_c0_seq1,1092.455639,1631.406081,617.1774143
AATK,ENSDARG00000078222,,Sm-comp29113_c0_seq1,2635.299391,2087.864877,1559.253628
AATK,ENSDARG00000077477,,Sm-comp21757_c0_seq1,4453.581078,5398.214231,2784.821697
abat,ENSDARG00000006031,378968,Sm-comp23833_c0_seq1,3636.797415,27950.45309,3355.309547
abca12,ENSDARG00000074749,558335,SmBGI-scaffold58357,320.1678124,294.3368426,379.4682743
abca1b,ENSDARG00000079009,100136868,SmBGI-C1761570,521.012264,5522.919172,1544.647181
abca2,ENSDARG00000013500,100006090,Sm-comp19206_c0_seq1,5902.892766,6920.222833,2135.261816
ABCA3,ENSDARG00000075490,564344,Sm-comp55263_c0_seq1,388.3017697,461.1815469,214.0958242
ABCA4,ENSDARG00000062661,555506,SmBGI-scaffold22059,950.7298934,1558.950021,858.196997
abca5,ENSDARG00000074041,100151075,SmBGI-scaffold52932,2552.907669,6127.563939,1794.277436
ABCA7,ENSDARG00000074221,561460,SmBGI-scaffold18426,701.1394242,538.6368644,267.6527967
abcb3l1,ENSDARG00000036787,368771,Sm-comp178774_c0_seq1,530.8045311,1240.966246,837.2514048
abcb5,ENSDARG00000021787,798527,Sm-comp57460_c0_seq1,1720.256039,1312.858231,792.3315172
abcb7,ENSDARG00000062795,566515,Sm-comp5795_c0_seq1,2842.818686,1841.330674,660.9703423
abcb8,ENSDARG00000056672,548340,Sm-comp79865_c0_seq1,863.142465,1159.352254,287.0840375
abcb9,ENSDARG00000056200,570148,SmBGI-scaffold38889,558.5336849,1179.636853,306.3039736
ABCC10,ENSDARG00000077988,,Sm-comp47772_c0_seq1,2938.007761,894.4026423,1641.856211
abcc2,ENSDARG00000014031,393561,Sm-comp194995_c0_seq1,863.8726723,627.1193062,776.7301769
ABCC3,ENSDARG00000077243,100331235,Sm-comp49067_c0_seq1,1371.385463,1513.027634,1499.278271
abcc4,ENSDARG00000058953,368620,SmBGI-scaffold56532,970.8199557,711.1776259,1115.513465
abcc5,ENSDARG00000061233,336147,Sm-comp15588_c0_seq1,2703.227393,1392.470307,734.8389925
ABCC8,ENSDARG00000077007,,Sm-comp66964_c0_seq1,417.5287846,286.4619053,488.6424413
abcc9,ENSDARG00000015985,561160,Sm-comp10105_c1_seq1,9719.630112,6340.784503,4678.060233
ABCD2,ENSDARG00000087347,,SmBGI-scaffold38284,479.3155554,349.5056451,534.4251566
ABCD2,ENSDARG00000059409,100537809,Sm-comp45942_c0_seq1,938.0355205,1102.33638,431.4140473
abcd3a,ENSDARG00000015167,406803,Sm-comp14103_c0_seq1,4145.274454,2319.600393,1643.564259
